arm,block,block_rank,rank_in_subtype,gene,model_score,target_class,druggability,small_molecule_tractable,antibody_tractable,some_drug_already_hits_this_gene,documented_safety_liability,liability_detail,why_the_model_ranked_it,REVIEW_plausible_1to5,REVIEW_already_known_to_you,REVIEW_worth_pursuing,REVIEW_comment
HER2-positive,B. NOVEL candidate - please assess,19,108,DAXX,0.9741,Unclassified protein,Unclassified protein,True,False,False,False,,"ppi_adamic_adar (+1.35), ppi_multi_source_frac (+1.29)",,,,
HER2-positive,B. NOVEL candidate - please assess,20,113,STAT5A,0.9736,Transcription factor,Transcription factor,True,False,False,False,,"dwpc_GBGD (+1.24), ppi_multi_source_frac (+0.96)",,,,
Triple-negative,A. known target - sanity anchor,1,7,CHEK2,0.7771,Enzyme,Enzyme,True,False,False,False,,"ppi_multi_source_frac (+0.59), gene_ppi_degree (+0.31)",,,,
Triple-negative,A. known target - sanity anchor,2,33,PALB2,0.5947,,intracellular,True,False,False,False,,"ppi_adamic_adar (-0.79), dwpc_GPGD (+0.73)",,,,
Triple-negative,A. known target - sanity anchor,3,107,TCF7L2,0.4586,,intracellular,True,False,False,True,Diabetes Mellitus|diabetes|diabetes mellitus|new-onset diabetes after transplantation|new-onset diabetes after transplan,"gene_n_pathways (+0.50), ppi_adamic_adar (-0.41)",,,,
Triple-negative,A. known target - sanity anchor,4,195,MRE11,0.3818,Enzyme,Enzyme,True,False,False,False,,"ppi_adamic_adar (-0.78), dwpc_GFGD (-0.45)",,,,
Triple-negative,A. known target - sanity anchor,5,238,TERT,0.3499,Enzyme,Enzyme,True,True,False,False,,"ppi_adamic_adar (-0.56), dwpc_GFGD (-0.45)",,,,
Triple-negative,A. known target - sanity anchor,6,252,BRCA1,0.3445,Enzyme,Enzyme,True,True,False,False,,"gene_ppi_degree (-0.74), gene_n_pathways (-0.52)",,,,
Triple-negative,A. known target - sanity anchor,7,262,CDKN2A,0.338,Unclassified protein,Unclassified protein,False,False,False,False,,"dwpc_GFGD (-0.44), ppi_adamic_adar (-0.43)",,,,
Triple-negative,A. known target - sanity anchor,8,371,MDM4,0.2836,Unclassified protein,Unclassified protein,True,False,False,False,,"ppi_evidence_depth (-1.18), ppi_multi_source_frac (+0.81)",,,,
Triple-negative,B. NOVEL candidate - please assess,1,1,RAD50,0.9485,Enzyme,Enzyme,False,False,False,False,,"dwpc_GBGD (+1.21), dwpc_GPGD (+0.84)",,,,
Triple-negative,B. NOVEL candidate - please assess,2,2,TP53,0.8818,Transcription factor,Transcription factor,True,False,False,True,"Tumorigenesis, Hepatocellular carcinoma|drug toxicity|neutropenia|regulation of transcription factor activity","ppi_multi_source_frac (+1.26), ppi_adamic_adar (+0.44)",,,,
