model,disease_index,auc_assoc,n_assoc,auc_drug,n_drug,hits_at_50
m1   7 features,47074,0.5636710202263896,77,,,
m1   7 features,47081,0.6620671259420678,247,,,
m1   7 features,47112,0.584177642688281,6,,,
m1   7 features,47114,0.6743089721799803,35,,,
m1   7 features,47122,0.7275712660766491,62,,,
m1   7 features,47222,0.707408907976123,35,,,
m1   7 features,47244,0.8102611459496607,14,,,
m1   7 features,47248,0.8523341873042983,12,,,
m1   7 features,47275,0.2802637776731041,3,0.8404705882352941,1.0,0.0
m1   7 features,47279,0.6154211457928593,14,,,
m1   7 features,47282,0.7327782522060916,6,,,
m1   7 features,47341,0.6318950578837755,79,,,
m1   7 features,47354,0.7205767562879445,44,0.6459302325581395,4.0,0.0
m1   7 features,47383,0.888775499610059,177,0.9767688554152965,1.0,0.0
m1   7 features,47385,0.8931463543255497,701,,,
m1   7 features,47387,0.8150254727435936,429,0.19949362668063558,1.0,0.0
m1   7 features,47396,0.9029945979276417,135,0.8661336978919004,12.0,0.0
m1   7 features,47398,0.8735454895952932,244,0.8431081575155387,33.0,2.0
m1   7 features,47404,0.8758785955069449,197,,,
m1   7 features,47406,0.8750233440326817,92,,,
m1   7 features,47407,0.6539665428038287,547,0.6430222295016333,27.0,0.0
m1   7 features,47408,0.661182690787954,148,0.6839231649682469,12.0,3.0
m1   7 features,47410,0.22293207800941492,2,,,
m1   7 features,47412,0.8988568582426902,691,0.9749642573471009,5.0,0.0
m1   7 features,47414,0.8595052285460267,53,,,
m1   7 features,47415,0.8169831141096029,864,0.6576826234451564,25.0,3.0
m1   7 features,47417,0.8616306129026657,153,,,
m1   7 features,47420,0.6820082304526749,125,0.476300845984471,1.0,0.0
m1   7 features,47421,0.6742488668576713,264,0.7799944720840243,134.0,5.0
m1   7 features,47423,0.7832630782533506,24,,,
m1   7 features,47434,0.728811386020516,240,0.755576378358273,35.0,2.0
m1   7 features,47436,0.7065771428571429,35,,,
m1   7 features,47437,0.6310395011117977,968,0.8748618917231109,81.0,45.0
m1   7 features,47441,0.7313122350389432,36,,,
m1   7 features,47444,0.6695980924409636,48,0.778690074456529,93.0,17.0
m1   7 features,47451,0.9039775627994473,677,0.5152248211043469,15.0,0.0
m1   7 features,47452,0.902226670243647,545,,,
m1   7 features,47462,0.5061268006996443,21,0.6663772040858379,14.0,0.0
m1   7 features,47467,0.9072136402841479,159,,,
m1   7 features,47468,0.8345491532158831,69,0.6686709836571076,2.0,0.0
m1   7 features,47469,0.8934414829779515,705,,,
m1   7 features,47470,0.8507322104978355,48,0.7760116072867967,5.0,0.0
m1   7 features,47473,0.6398580736364474,162,0.26588073709511273,1.0,0.0
m1   7 features,47482,0.6411163746361509,7,,,
m1   7 features,47483,0.3632583503749148,6,,,
m1   7 features,47490,0.8034669190435785,36,,,
m1   7 features,47491,0.553989268852241,64,,,
m1   7 features,47493,0.619435981904179,194,0.8305394369224156,1.0,0.0
m1   7 features,47495,0.8981346426233239,696,,,
m1   7 features,47499,0.7195253973065431,21,0.6276752395360565,15.0,0.0
m1   7 features,47502,0.8533421171574522,43,,,
m1   7 features,47504,0.8744600193952218,19,,,
m1   7 features,47517,0.9705596107055962,4,,,
m1   7 features,47522,0.6777540575106435,63,,,
m1   7 features,47523,0.5931108548469282,436,,,
m1   7 features,47529,0.8881363685115523,686,,,
m1   7 features,47530,0.6688014963013522,41,,,
m1   7 features,47537,0.5790686844565004,1081,0.4986898930560519,68.0,1.0
m1   7 features,47540,0.8702720368345856,57,,,
m1   7 features,47541,0.5590220507962379,503,,,
m1   7 features,47542,0.8543014880625937,9,0.6737458881578947,8.0,0.0
m1   7 features,47544,0.8912664636561696,680,,,
m1   7 features,47551,0.656309412861137,30,,,
m1   7 features,47556,0.9014321339508372,50,,,
m1   7 features,47567,0.905428417245847,685,,,
m1   7 features,47574,0.8678093811087477,551,,,
m1   7 features,47586,0.8913504618223672,38,,,
m1   7 features,47589,0.8459977591740745,82,,,
m1   7 features,47601,0.6902416176265175,84,,,
m1   7 features,47604,0.8883273000242875,621,0.7323125181317087,54.0,5.0
m1   7 features,47611,0.6602162638222918,22,0.5629153269024652,2.0,0.0
m1   7 features,47612,0.721433477496245,63,,,
m1   7 features,47614,0.6134536629758836,19,0.2867049258727881,1.0,0.0
m1   7 features,47623,0.6536256798149653,204,0.6951409842888358,3.0,0.0
m1   7 features,47624,0.7185490829586666,269,0.44293116086898576,6.0,0.0
m1   7 features,47630,0.893336595402991,18,,,
m1   7 features,47631,0.7415197863933819,89,0.5404902329861547,13.0,0.0
